City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
282,luderitz,-26.6481,15.1594,19.95,66,93,2.6,NA,1680727290
283,paracuru,-3.41,-39.0306,27.28,80,100,2.07,BR,1680727291
284,inongo,-1.95,18.2667,22.77,93,100,1.95,CD,1680727291
285,cascais,38.6979,-9.4215,18.64,44,0,7.72,PT,1680727292
286,itaunja,27.0833,80.9167,23.99,20,0,3.26,IN,1680727292
287,bubaque,11.2833,-15.8333,25.66,75,68,7.41,GW,1680727293
288,yenagoa,4.9247,6.2642,26.32,86,75,1.78,NG,1680727293
289,okhotsk,59.3833,143.3,-15.72,99,95,1.3,RU,1680727294
290,kpandu,6.9954,0.2931,25.95,77,96,4.57,GH,1680727295
291,winnemucca,40.973,-117.7357,3.03,48,100,3.6,US,1680727295
292,urumqi,43.801,87.6005,2.53,28,0,3.0,CN,1680727296
293,nizhniy odes,63.6445,54.856,-8.88,91,95,4.59,RU,1680727298
294,tiksi,71.6872,128.8694,-22.19,97,100,3.25,RU,1680727298
295,nome,64.5011,-165.4064,-17.13,65,0,0.0,US,1680727266
296,araouane,18.9048,-3.5265,28.64,9,99,4.31,ML,1680727299
297,umm lajj,25.0213,37.2685,23.89,53,97,2.38,SA,1680727299
298,upata,8.0086,-62.3989,29.0,34,99,2.96,VE,1680727300
299,cam ranh,11.9214,109.1591,24.98,88,0,0.0,VN,1680727301
300,rio gallegos,-51.6226,-69.2181,14.03,23,0,11.83,AR,1680727302
301,mahebourg,-20.4081,57.7,24.58,88,40,1.54,MU,1680727302
302,meulaboh,4.1363,96.1285,23.78,87,98,1.85,ID,1680727303
303,mareeba,-17.0,145.4333,21.91,93,99,0.68,AU,1680727303
304,sao filipe,14.8961,-24.4956,23.05,79,97,5.97,CV,1680727303
305,san quintin,30.4833,-115.95,16.23,48,28,5.8,MX,1680727304
306,aksha,50.2814,113.2867,-8.32,59,17,8.55,RU,1680727304
307,asfi,32.2994,-9.2372,16.9,82,0,5.09,MA,1680727305
308,mount isa,-20.7333,139.5,15.87,77,2,0.0,AU,1680727306
309,odienne,9.51,-7.5692,27.6,57,62,2.95,CI,1680727306
310,bangassou,4.7413,22.8184,24.16,57,55,1.86,CF,1680727306
311,ancud,-41.8697,-73.8203,11.96,90,100,0.95,CL,1680727307
312,mount gambier,-37.8333,140.7667,11.6,87,100,2.18,AU,1680727307
313,trelew,-43.249,-65.3051,28.15,26,0,8.23,AR,1680727047
314,sao francisco,-15.9486,-44.8644,26.79,50,75,2.33,BR,1680727013
315,misratah,32.3754,15.0925,17.14,71,18,6.87,LY,1680727309
316,alyangula,-13.8483,136.4192,27.49,78,97,3.99,AU,1680727309
317,luba,3.4568,8.5547,27.94,85,50,3.99,GQ,1680727309
318,lagunas,-5.2269,-75.6753,31.19,55,43,2.24,PE,1680727310
319,haines junction,60.7522,-137.5108,0.97,60,100,1.03,CA,1680727310
320,goderich,43.7501,-81.7165,16.18,94,100,3.6,CA,1680727311
321,tateyama,34.9833,139.8667,17.39,69,100,9.73,JP,1680727311
322,porvoo,60.3923,25.6651,4.28,88,100,4.85,FI,1680727312
323,evensk,61.95,159.2333,-7.03,94,100,1.87,RU,1680727312
324,aktau,43.65,51.2,8.32,56,100,3.06,KZ,1680727312
325,oriximina,-1.7656,-55.8661,26.75,87,80,0.82,BR,1680727313
326,severo-kurilsk,50.6789,156.125,-0.63,71,20,5.42,RU,1680727313
327,ribeira grande,38.5167,-28.7,17.1,88,20,5.14,PT,1680727314
328,grindavik,63.8424,-22.4338,4.97,81,75,5.14,IS,1680727314
329,kizukuri,40.8061,140.3861,12.51,69,100,1.9,JP,1680727314
330,altamont,42.2068,-121.7372,8.77,47,20,3.6,US,1680727315
331,eureka,40.8021,-124.1637,15.41,65,99,1.34,US,1680727315
332,vao,-22.6667,167.4833,25.23,82,1,6.34,NC,1680727316
333,zabol,32.25,67.25,8.43,34,0,4.68,AF,1680727316
334,puerto madryn,-42.7692,-65.0385,26.02,39,96,9.45,AR,1680727316
335,porto belo,-27.1578,-48.5531,23.98,80,100,6.1,BR,1680727317
336,omsukchan,62.5333,155.8,-17.03,99,98,2.32,RU,1680727317
337,elko,41.0002,-115.5012,0.01,45,5,1.34,US,1680727072
338,namatanai,-3.6667,152.4333,26.57,80,99,0.34,PG,1680727318
